[step],(mean) curr-fish-count,(mean) curr-shark-count,(mean) curr-food-count,,,,
287,447.3333333,223.3333333,30.33333333,,,,
288,452.6666667,228,30,,,,
289,457.3333333,227.3333333,29.66666667,,,,
290,459.6666667,230.6666667,28.66666667,,,,
291,466,235,29,,,,
292,473.6666667,237.3333333,28.33333333,,,,
293,476.6666667,240.3333333,29.33333333,,,,
294,480.6666667,240,29,,,,
295,479.3333333,239.6666667,29,,,,
296,716,157.5,10,,,,
297,724.5,166.5,11.5,,,,
298,730,170,12,,,,
299,737,176.5,12,,,,
300,739.5,182.5,12.5,,,,
301,738.5,193,10.5,,,,
302,745.5,196,10.5,,,,
303,752,201,10.5,,,,
304,749,207.5,10.5,,,,
305,760.5,216,12,,,,
306,775.5,227,13,,,,
307,781,239,11,,,,
308,778.5,245,12.5,,,,
309,786.5,252,14,,,,
310,797,263,12.5,,,,
311,805,270,14,,,,
312,819.5,277,14,,,,
313,832.5,288,14.5,,,,
314,839,294.5,14,,,,
315,846,301,14,,,,
316,863.5,306,14,,,,
317,866,320,14,,,,
318,874.5,327.5,15.5,,,,
319,878.5,338,18.5,,,,
320,881.5,349,18,,,,
321,885,352.5,18.5,,,,
322,890.5,358,19.5,,,,
323,890.5,364.5,18,,,,
324,887.5,370,17.5,,,,
325,875,377.5,17.5,,,,
326,884.5,387,17.5,,,,
327,890,395.5,17.5,,,,
328,893.5,399.5,20.5,,,,
329,896,410.5,20,,,,
330,1780,331,2,,,,
331,1756,346,2,,,,
332,1745,363,5,,,,
333,1713,383,6,,,,
334,1691,405,5,,,,
335,1684,425,8,,,,
336,1674,445,5,,,,
337,1677,468,4,,,,
338,1660,477,4,,,,
339,1651,495,4,,,,
340,1632,519,4,,,,
341,1615,539,7,,,,
342,1607,562,6,,,,
343,1570,584,4,,,,
344,1539,601,4,,,,
345,1526,620,4,,,,
346,1497,639,7,,,,
347,1459,666,5,,,,
348,1411,693,8,,,,
349,1386,717,9,,,,
350,1352,730,8,,,,
351,1319,760,8,,,,
352,1275,783,8,,,,
353,1235,812,8,,,,
354,1185,828,8,,,,
355,1131,846,8,,,,
356,1087,872,7,,,,
357,1060,884,7,,,,
358,1033,907,7,,,,
359,986,934,10,,,,
360,937,945,10,,,,
361,890,976,9,,,,
362,843,1001,9,,,,
363,795,1020,12,,,,
364,738,1040,12,,,,
365,685,1056,12,,,,
366,634,1068,12,,,,
367,571,1076,12,,,,
368,511,1093,12,,,,
369,450,1125,12,,,,
370,393,1153,12,,,,
371,336,1173,12,,,,
372,280,1189,15,,,,
373,224,1211,15,,,,
374,181,1229,15,,,,
375,136,1258,15,,,,
376,95,1276,15,,,,
377,60,1288,18,,,,
378,36,1291,18,,,,
379,19,1287,18,,,,
380,8,1294,18,,,,
381,3,1312,21,,,,
382,0,1334,24,,,,
