[step],(mean) curr-fish-count,(mean) curr-shark-count,(mean) curr-food-count
415,243.5,4,29.25
416,244.75,3.875,28.875
417,246.875,3.875,29
418,247.25,3.75,29.625
419,249.25,3.75,30.125
420,250,3.625,29.5
421,251,3.625,29.75
422,253.5,3.625,29.875
423,256.25,3.625,29.5
424,257.875,3.5,29
425,260.375,3.625,28.75
426,259.625,3.625,28.625
427,262.125,3.625,27.875
428,264.125,3.625,28.625
429,265,3.5,28.5
430,267.25,3.625,27.75
431,268.625,3.75,26.625
432,269.375,3.75,26.75
433,270.75,3.75,25.625
434,272.25,3.75,25.25
435,275,3.875,25.375
436,276.375,4,25.5
437,278.25,4,26.125
438,278.75,4,25.75
439,280.875,4,24.75
440,282.25,4,24.75
441,284.375,4,24.75
442,284.625,4,24.625
443,287.875,4,24
444,290.5,4,23.625
445,289.5,4,22.25
446,290.125,4,22.25
447,304.7142857,4.428571429,20
448,307.2857143,4.428571429,21
449,308.5714286,4.571428571,21.14285714
450,312,4.571428571,21.57142857
451,314.4285714,4.428571429,21.57142857
452,315.8571429,4.428571429,21.42857143
453,317.4285714,4.571428571,20.85714286
454,320,4.571428571,21
455,324,4.571428571,21.14285714
456,327.8571429,4.571428571,22
457,329.5714286,4.571428571,21.85714286
458,330.1428571,4.714285714,22.42857143
459,331.5714286,4.571428571,22.57142857
460,335.5714286,4.571428571,22.28571429
461,338.8571429,4.428571429,21.85714286
462,341,4.428571429,21.42857143
463,344.7142857,4.428571429,21.28571429
464,346.4285714,4.428571429,22
465,348.4285714,4.428571429,22.57142857
466,348.8571429,4.714285714,22.14285714
467,350.1428571,4.714285714,22.42857143
468,352.5714286,4.714285714,21.14285714
469,354,4.714285714,20.57142857
470,355.7142857,4.714285714,21
471,357.8571429,4.714285714,19.85714286
472,360.5714286,4.571428571,21.14285714
473,366.2857143,4.571428571,21.14285714
474,370.2857143,4.857142857,21.14285714
475,372.5714286,4.857142857,22.14285714
476,375,5,21.71428571
477,375.2857143,5,21.85714286
478,377,4.857142857,20.14285714
479,378.2857143,4.857142857,20
480,380.5714286,4.714285714,19.85714286
481,383,4.714285714,19.71428571
482,384.4285714,4.857142857,19.28571429
483,386.1428571,4.714285714,18.28571429
484,388.4285714,4.857142857,18.71428571
485,388.8571429,4.857142857,18.57142857
486,389.5714286,4.857142857,19.28571429
487,391.1428571,5,19.57142857
488,394.5714286,5,20.57142857
489,398.2857143,5,20.14285714
490,402.2857143,5.142857143,20
491,404.7142857,5.142857143,19.85714286
492,408.5714286,5.285714286,17
493,409.4285714,5.285714286,18
494,411,5.285714286,17.85714286
495,413.7142857,5.285714286,17.57142857
496,416.7142857,5.285714286,17.71428571
497,420.4285714,5.285714286,16.71428571
498,422.1428571,5.571428571,16.85714286
499,423.4285714,5.571428571,17.85714286
500,425,5.571428571,18.14285714
501,427.4285714,5.428571429,17
502,432.2857143,5.428571429,17.42857143
503,432.7142857,5.428571429,16.71428571
504,431.4285714,5.428571429,16.57142857
505,434.2857143,5.428571429,16.85714286
506,436.5714286,5.571428571,17.42857143
507,438,5.571428571,18.42857143
508,442.8571429,5.571428571,18.57142857
509,445,5.571428571,17.42857143
510,446.8571429,5.714285714,17
511,448.5714286,5.571428571,16.57142857
512,450,5.428571429,17.14285714
513,455.8571429,5.428571429,16.14285714
514,458.1428571,5.571428571,16.14285714
515,461,5.571428571,16.57142857
516,461.7142857,5.571428571,16.42857143
517,463.4285714,5.714285714,15.28571429
518,463.7142857,5.571428571,15.85714286
519,465.4285714,5.571428571,16.85714286
520,465.7142857,5.571428571,17.28571429
521,468.5714286,5.714285714,17.28571429
522,471.1428571,5.714285714,16.28571429
523,475.1428571,5.857142857,15.42857143
524,477.1428571,5.857142857,14.14285714
525,482,6,13.85714286
526,486.1428571,6.142857143,12.85714286
527,486.1428571,6.285714286,13.85714286
528,485.7142857,6.714285714,14
529,491.4285714,6.857142857,13.71428571
530,492.5714286,6.857142857,14
531,495.5714286,6.857142857,14.42857143
532,497.5714286,6.857142857,15.14285714
533,499,6.857142857,14.28571429
534,498.8571429,6.857142857,14.85714286
535,499.7142857,6.857142857,14.57142857
536,505.2857143,6.857142857,14.85714286
537,507.1428571,7,14.85714286
538,506,7,15.42857143
539,509.7142857,7,14.42857143
540,510,7,14.14285714
541,513,7,14
542,516.1428571,7.285714286,14.28571429
543,517.8571429,7.285714286,15.28571429
544,521.2857143,7.428571429,14.28571429
545,525.1428571,7.428571429,14.57142857
546,528.7142857,7.428571429,15.28571429
547,532.1428571,7.428571429,14
548,531.7142857,7.428571429,15.14285714
549,534.5714286,7.428571429,15.42857143
550,536.2857143,7.285714286,14.71428571
551,534.7142857,7.571428571,15.14285714
552,536.1428571,7.571428571,15.14285714
553,539,7.714285714,15.42857143
554,539.2857143,7.857142857,14.71428571
555,543.4285714,8,14.28571429
556,543,8.285714286,15.57142857
557,542.7142857,8.428571429,15.42857143
558,546.8571429,8.571428571,15.28571429
559,547.8571429,8.571428571,15
560,550.1428571,8.571428571,15.57142857
561,550.8571429,8.714285714,14.28571429
562,553,8.857142857,13.85714286
563,554.1428571,8.857142857,15.28571429
564,556.2857143,9.142857143,15
565,558,9.285714286,15
566,559.7142857,9.428571429,14.42857143
567,563.5714286,9.428571429,15.71428571
568,564.1428571,9.285714286,15.71428571
569,567.4285714,9.428571429,15
570,571.8571429,9.571428571,15.42857143
571,573.4285714,9.571428571,15.28571429
572,573.2857143,9.714285714,15.71428571
573,573.4285714,9.714285714,15.42857143
574,577.2857143,9.571428571,15.28571429
575,581.2857143,9.571428571,16.14285714
576,580.1428571,9.571428571,15.57142857
577,583.5714286,9.714285714,15.14285714
578,587.8571429,9.857142857,15.71428571
579,588.1428571,9.857142857,16.85714286
580,593.2857143,9.857142857,16
581,595,9.857142857,15.28571429
582,596.2857143,9.857142857,14.42857143
583,599.5714286,9.857142857,15
584,601.1428571,9.714285714,13.85714286
585,599.7142857,9.714285714,14.71428571
586,602.2857143,9.571428571,14.85714286
587,605.4285714,9.714285714,13.57142857
588,609.1428571,9.571428571,13.42857143
589,610,9.714285714,13.14285714
590,612.4285714,9.714285714,13.42857143
591,613.1428571,9.714285714,12.85714286
592,617.4285714,9.857142857,13.28571429
593,617.5714286,9.857142857,14
594,621.5714286,9.857142857,14.14285714
595,624.4285714,9.857142857,11.85714286
596,624.4285714,10,12.28571429
597,625.5714286,9.857142857,12.57142857
598,632.4285714,9.714285714,13.57142857
599,633.5714286,9.714285714,13.71428571
600,637,10,13.42857143
601,639.8571429,10.28571429,13.71428571
602,642.8571429,10.42857143,14.14285714
603,644.1428571,10.57142857,14.85714286
604,646.7142857,10.71428571,14.85714286
605,645.1428571,11.14285714,14.71428571
606,646.5714286,11.14285714,15.85714286
607,648,11,14.71428571
608,654.1428571,10.85714286,15
609,656.1428571,10.71428571,15.28571429
610,659.1428571,10.71428571,14.85714286
611,665.5714286,10.71428571,14.14285714
612,673.1428571,10.71428571,14.28571429
613,675.5714286,10.71428571,13.14285714
614,682.4285714,10.57142857,13.57142857
615,684.5714286,10.71428571,13.85714286
616,688.1428571,10.85714286,13.57142857
617,691.7142857,10.85714286,12
618,693.4285714,10.85714286,13
619,696.4285714,11.14285714,13.57142857
620,698,11.28571429,14
621,699.5714286,11.28571429,13.28571429
622,700.7142857,11.57142857,13.71428571
623,704.7142857,11.71428571,13.14285714
624,706.8571429,11.71428571,14
625,710.1428571,11.85714286,13.57142857
626,711.8571429,11.85714286,13.14285714
627,713.2857143,11.71428571,14.28571429
628,716.8571429,12,14
629,718.4285714,12,13.71428571
630,719.5714286,12.28571429,13.85714286
631,724.2857143,12.28571429,13.85714286
632,727.1428571,12.42857143,14.57142857
633,728.5714286,12.57142857,13.85714286
634,727,12.85714286,14.57142857
635,729.4285714,12.71428571,13.85714286
636,739.2857143,13.14285714,14.71428571
637,741,13.14285714,14.85714286
638,738.8571429,13.14285714,15.14285714
639,740.7142857,13.42857143,15.57142857
640,741.2857143,13.57142857,15.85714286
641,743.1428571,13.71428571,16.28571429
642,746.8571429,13.42857143,16.71428571
643,748.4285714,13.42857143,16.28571429
644,752.4285714,13.42857143,17.14285714
645,756,13.42857143,17.28571429
646,760,13.57142857,16.14285714
647,762.7142857,13.71428571,17.42857143
648,762.1428571,13.71428571,16.85714286
649,763.8571429,13.71428571,17.14285714
650,763.1428571,14.14285714,17.14285714
651,764,14,17.28571429
652,765.1428571,14,16.71428571
653,767,14.28571429,17.28571429
654,770,14.42857143,16.71428571
655,774.5714286,14.71428571,15.57142857
656,773.8571429,14.85714286,16.28571429
657,780.2857143,15,17.42857143
