[step],(mean) curr-fish-count,(mean) curr-shark-count,(mean) curr-food-count,,,,
406,19.375,482.375,109.5,,,,
407,14.25,486.875,110.625,,,,
408,9.875,487.75,111.875,,,,
409,6.125,484,111.875,,,,
410,3,488,113,,,,
411,2.125,488.25,114.125,,,,
412,1.75,487.75,114.75,,,,
413,1.75,488.875,115.125,,,,
414,1.625,488.25,115.125,,,,
415,1.625,487.375,115.875,,,,
416,1.625,488.125,117,,,,
417,1.625,490.125,117.125,,,,
418,1.75,492.5,117.875,,,,
419,1.625,490.375,118.625,,,,
420,1.5,492.125,119.25,,,,
421,1.375,490,119.25,,,,
422,1.75,488.375,119.75,,,,
423,1.875,493.875,120.125,,,,
424,1.875,498,120.875,,,,
425,2,495.375,121.125,,,,
426,2,493.375,121.875,,,,
427,2.25,490.875,122.375,,,,
428,2.5,485.875,123.25,,,,
429,2.5,485.375,125,,,,
430,2.625,484.75,125.25,,,,
431,2.5,484,126.25,,,,
432,2.5,479.25,126.875,,,,
433,2.375,478.125,127.125,,,,
434,2.375,479.5,127.625,,,,
435,2.375,474.5,128.125,,,,
436,2.25,472.875,129.125,,,,
437,2.25,468.875,129.375,,,,
438,2.375,461.5,130.125,,,,
439,2.375,457.125,131.375,,,,
440,2.375,458.25,132.125,,,,
441,2.25,457,133.75,,,,
442,2.375,454,134.375,,,,
443,2.375,452.5,134.875,,,,
444,2.625,450.625,135.25,,,,
445,2.5,445.375,136.125,,,,
446,2.5,443,137,,,,
447,2.625,441.75,137.75,,,,
448,2.875,434.125,138.875,,,,
449,3.25,430.5,139.375,,,,
450,3.375,429.75,140.75,,,,
451,3.375,427.75,141.75,,,,
452,3.375,425.5,141.625,,,,
453,3.375,424.25,141.875,,,,
454,3.875,421.75,143.25,,,,
455,3.875,418.125,144.5,,,,
456,3.875,415.75,145.125,,,,
457,3.875,416.125,145.625,,,,
458,4,413.375,145.625,,,,
459,4.375,409.625,145.5,,,,
460,4.375,407.5,145.875,,,,
461,4.5,402,146,,,,
462,4.625,400.875,146.125,,,,
463,4.5,402.75,146.125,,,,
464,4.75,398.375,146.375,,,,
465,4.625,397,147.375,,,,
466,4.625,394.75,148.25,,,,
467,4.75,390,148.75,,,,
468,5,387.25,149.625,,,,
469,5.25,384.125,150.5,,,,
470,5.875,378.125,150.75,,,,
471,6.125,377.75,151.125,,,,
472,6.25,373.125,151.125,,,,
473,6.25,372,151.75,,,,
474,6,369.875,152.5,,,,
475,6.5,367.875,152.875,,,,
476,6.5,365,153.375,,,,
477,7,363.875,154.125,,,,
478,6.875,360.625,155.375,,,,
479,6.75,358.25,156.625,,,,
480,6.5,353.125,156.875,,,,
481,6.625,351.25,157.5,,,,
482,6.75,349.875,158.125,,,,
483,6.75,346.75,158.75,,,,
484,6.875,347.25,159.875,,,,
485,7.125,346.75,160.125,,,,
486,8.375,344.75,160.375,,,,
487,9,345,160.75,,,,
488,8.75,345.375,161.125,,,,
489,9.5,341.5,162,,,,
490,9.75,339.375,162.125,,,,
491,9.875,340.375,162.625,,,,
492,10.125,336.5,162.375,,,,
493,10.5,334,162.625,,,,
494,11,334,162.25,,,,
495,11.625,332.5,162.75,,,,
496,12,330.25,163,,,,
497,12,328.25,163.25,,,,
498,12.625,324,163.875,,,,
499,13.375,320.625,164.625,,,,
500,13.5,317.625,164.75,,,,
,152.3761944,239.5493778,84.93607222,,,,
